beginTime,classType,EventOccurred
2016-01-01T23:00Z,M2.3,1
2016-01-28T11:48Z,C9.6,1
2016-02-04T18:15Z,C5.1,1
2016-02-11T20:18Z,C8.9,1
2016-02-12T10:37Z,M1.0,1
2016-02-13T15:18Z,M1.8,1
2016-02-14T19:20Z,M1.0,1
2016-02-15T10:41Z,M1.1,1
2016-02-17T04:54Z,C9.4,1
2016-03-16T06:34Z,C2.2,1
2016-04-09T12:08Z,C2.8,1
2016-04-18T00:14Z,M6.7,1
2016-06-27T09:42Z,B5.8,0
2016-07-07T07:49Z,C5.1,1
2016-07-10T00:53Z,C8.6,1
2016-07-21T00:41Z,M1.2,1
2016-07-21T01:34Z,M1.0,1
2016-07-23T01:46Z,M5.0,1
2016-07-23T05:00Z,M7.6,1
2016-07-23T05:27Z,M5.5,1
2016-07-24T06:09Z,M2.0,1
2016-07-24T17:30Z,M1.9,1
2016-08-07T14:37Z,M1.3,1
2016-08-09T00:34Z,C8.9,1
2016-11-29T17:19Z,M1.0,1
2016-11-29T23:29Z,M1.2,1
2016-12-10T16:48Z,C4.0,1
2017-01-21T07:23Z,C9.3,1
2017-03-27T11:07Z,C3.2,1
2017-03-27T17:55Z,C5.1,1
2017-04-01T19:30Z,C3.7,1
2017-04-01T21:35Z,M4.4,1
2017-04-02T02:43Z,C8.0,1
2017-04-02T07:48Z,M5.3,1
2017-04-02T12:54Z,M2.3,1
2017-04-02T18:18Z,M2.1,1
2017-04-02T20:28Z,M5.7,1
2017-04-03T00:54Z,M1.2,1
2017-04-03T14:21Z,M5.8,1
2017-04-18T09:29Z,C3.3,1
2017-04-18T19:15Z,C5.5,1
2017-06-02T17:51Z,C8.0,1
2017-07-02T12:15Z,B3.1,0
2017-07-03T15:37Z,M1.3,1
2017-07-09T03:09Z,M1.3,1
2017-07-13T20:01Z,C8.4,1
2017-07-14T01:07Z,M2.4,1
2017-07-15T19:21Z,C5.8,1
2017-08-15T02:08Z,C1.0,1
2017-08-15T12:20Z,C1.1,1
2017-08-19T21:28Z,C7.0,1
2017-08-20T01:36Z,M1.2,1
2017-09-02T15:23Z,C7.7,1
2017-09-04T05:36Z,M1.2,1
2017-09-04T15:11Z,M1.5,1
2017-09-04T18:05Z,M1.0,1
2017-09-04T18:46Z,M1.7,1
2017-09-04T19:59Z,M1.5,1
2017-09-04T20:15Z,M5.5,1
2017-09-04T22:10Z,M2.1,1
2017-09-05T01:04Z,M4.2,1
2017-09-05T03:42Z,M1.0,1
2017-09-05T04:33Z,M3.2,1
2017-09-05T06:34Z,M3.8,1
2017-09-05T17:37Z,M2.3,1
2017-09-06T08:57Z,X2.2,1
2017-09-06T11:53Z,X9.3,1
2017-09-06T15:51Z,M2.5,1
